KEGGID	DeltaG0Prime	DeltaGUncertainty	DeltaGmPrime
R00258	C00041 + C00026 <=> C00022 + C00025	0.3495231842698261 	0.5425585857497814 	0.3495231842698261 
R00259	C00024 + C00025 <=> C00010 + C00624	-23.85737600443754 	3.2929715269232243 	-23.85737600443754 
R00260	C00025 <=> C00217	0.5685195410786719 	2.1936357131282613 	0.5685195410786719 
R00261	C00025 <=> C00334 + C00011	-23.69293203092645 	3.558922010775728 	-40.80776956564748 
R00262	C03618 <=> C00025	-7.389313043965111 	2.412631519534204 	-7.389313043965111 
R00263	C00025 <=> C05723	0.0	0.0	0.0
R00264	C00433 + C00006 + C00001 <=> C00026 + C00005 + C00080	-34.81618840955137 	2.0238436752089717 	-34.81618840955137 
R00265	C00026 + C00010 + C00006 <=> C00091 + C00011 + C00005 + C00080	-29.22952910193048 	3.977604779736107 	-29.22952910193048 
R00267	C00311 + C00006 <=> C00026 + C00011 + C00005 + C00080	5.9005616872715345 	3.2547129789031857 	-11.2142758474495 
R00268	C05379 <=> C00026 + C00011	-12.924052903795612 	3.9994612509533676 	-30.038890438516646 
R00269	C00940 + C00001 <=> C00026 + C00014	-0.585253596767231 	2.450486521199411 	-17.700091131488264 
R00270	C00026 + C00014 <=> C05572 + C00001	42.00159818400818 	3.2941783911727005 	59.116435718729214 
R00271	C00024 + C00001 + C00026 <=> C01251 + C00010	-29.55451716891006 	2.7899791542474226 	-29.55451716891006 
R00272	C00026 <=> C00232 + C00011	-17.16784159984443 	3.4523523526039375 	-34.28267913456546 
R00273	C00209 + C00007 <=> C00027 + 2 C00011	-163.78023232866838 	7.9223661509285614 	-180.8950698633894 
R00274	C00027 + 2 C00051 <=> C00127 + 2 C00001	-310.17644173632266 	3.398985066117678 	-275.9467666668806 
R00275	2 C00704 + 2 C00080 <=> C00027 + C00007	0.0	0.0	0.0
R00276	C00011 + C00027 <=> C00237 + C00001 + C00007	177.92695188946914 	6.038711460656432 	177.92695188946914 
R00277	C00647 + C00001 + C00007 <=> C00018 + C00014 + C00027	-98.88706384091203 	4.628691259089796 	-116.00190137563307 
R00278	C00627 + C00007 <=> C00027 + C00018	-113.64912327657325 	4.316302232849462 	-113.64912327657325 
R00279	C00217 + C00001 + C00007 <=> C00026 + C00014 + C00027	-96.85626989399616 	4.8052225053217485 	-113.97110742871719 
R00280	C00028 + 2 C00533 + 2 C00001 <=> C00030 + 2 C00088	0.0	0.0	0.0
R00281	C00028 + C00004 + C00080 <=> C00030 + C00003	0.0	0.0	0.0
R00282	C00028 + C00005 + C00080 <=> C00030 + C00006	0.0	0.0	0.0
R00283	C00028 + C00014 + C00001 + 2 C00009 + 2 C00008 <=> C00192 + C00030 + 2 C00002 + 2 C00001	0.0	0.0	0.0
R00284	C00028 + C00014 + C00001 <=> C00192 + C00030	0.0	0.0	0.0
R00286	C00029 + C00001 + 2 C00003 <=> C00167 + 2 C00004 + 2 C00080	-15.232664954941612 	2.2262060133080803 	-15.232664954941612 
R00287	C00029 + C00001 <=> C00105 + C00103	-30.441435493437595 	3.867285641740325 	-47.55627302815863 
R00289	C00075 + C00103 <=> C00013 + C00029	0.9289927287776463 	0.5626837378415457 	0.9289927287776463 
R00291	C00029 <=> C00052	3.059564565259734 	0.8498299684182936 	3.059564565259734 
R00292	C00029 + C00718 <=> C00015 + C00718	244.29260627600587 	1.5297464771624611 	244.29260627600587 
R00293	C00029 <=> C04089 + C00001	-63.180894242038455 	2.50962949131798 	-63.180894242038455 
R00294	2 C00533 + 2 C00126 + 2 C00080 <=> C00887 + 2 C00125 + C00001	0.0	0.0	0.0
R00295	C01861 + C01328 + C00028 + 2 C00001 <=> C00030 + 3 C11481	0.0	0.0	0.0
R00297	C00256 + C00028 <=> C00022 + C00030	0.0	0.0	0.0
R00298	C03196 + C00028 <=> C00026 + C00030	0.0	0.0	0.0
R00299	C00002 + C00031 <=> C00008 + C00092	-16.749787428238463 	0.44113448879576694 	-16.749787428238463 
R00300	C00031 + C00003 <=> C00198 + C00004 + C00080	-4.232156748675628 	1.1566633742013774 	-4.232156748675628 
R00301	C00031 + C00006 <=> C03107 + C00005 + C00080	-10.836127376693327 	2.130882114928628 	-10.836127376693327 
R00302	C00031 + C00007 <=> C02779 + C00027	-132.26035412248365 	4.608215915817484 	-132.26035412248365 
R00303	C00092 + C00001 <=> C00031 + C00009	-9.020911528472574 	0.47908444888483454 	-26.135749063193607 
R00304	C00103 + C00001 <=> C00031 + C00009	-16.41282139822917 	0.8455239652058203 	-33.5276589329502 
R00305	C00031 + C15602 <=> C00198 + C15603	0.0	0.0	0.0
R00306	C00185 + C00001 <=> 2 C00031	-12.990062372875263 	1.924491419766125 	-30.104899907596298 
R00307	C00031 <=> C00095	-0.08652612996884208 	0.30452329185295257 	-0.08652612996884208 
R00308	C00965 + C00001 <=> C00031 + C00965	-270.2392144094751 	0.8028810149222523 	-287.35405194419616 
R00310	C02191 + C14818 <=> C00032 + 2 C00080	0.0	0.0	0.0
R00311	C00032 + 3 C03024 + 3 C00007 <=> C00500 + C00237 + C14818 + 3 C03161 + 3 C00001	0.0	0.0	0.0
R00312	C00032 <=> C05783	0.0	0.0	0.0
