R00352	-R00352
R00353	-R00353
R00354	-R00354
R00355	-R00355
R10041	-R10041
R08292	-R08292
R05452	-R05452
R05425	-R05425
R05426	-R05426
R05453	-R05453
R00141	-R00141
R00140	-R00140
R11875	-R11875
R07828	-R07828
R08839	-R08839
R03112	-R03112
R03114	-R03114
R01179	-R01179
R01173	-R01173
R01172	-R01172
R01176	-R01176
R05459	-R05459
R05078	-R05078
R05076	-R05076
R05072	-R05072
R05071	-R05071
R00912	-R00912
R02244	-R02244
R02245	-R02245
R10059	-R10059
R10054	-R10054
R10501	-R10501
R05218	-R05218
R05219	-R05219
R05455	-R05455
R05212	-R05212
R05213	-R05213
R05217	-R05217
R05214	-R05214
R10406	-R10406
R02705	-R02705
R10200	-R10200
R09172	-R09172
R09171	-R09171
R09170	-R09170
R09177	-R09177
R09175	-R09175
R09174	-R09174
R09179	-R09179
R09178	-R09178
R03933	-R03933
R03937	-R03937
R04269	-R04269
R10057	-R10057
R01300	-R01300
R01900	-R01900
R10052	-R10052
R11679	-R11679
R11676	-R11676
R11670	-R11670
R04039	-R04039
R04035	-R04035
R04037	-R04037
R04036	-R04036
R11011	-R11011
R11013	-R11013
R11012	-R11012
R11015	-R11015
R11014	-R11014
R08628	-R08628
R08620	-R08620
R07101	-R07101
R08624	-R08624
R06506	-R06506
R06505	-R06505
R06502	-R06502
R07517	-R07517
R07516	-R07516
R02477	-R02477
R02476	-R02476
R02474	-R02474
R02478	-R02478
R00658	-R00658
R00655	-R00655
R09749	-R09749
R03306	-R03306
R03304	-R03304
R00906	-R00906
R00908	-R00908
R09416	-R09416
R09417	-R09417
R03908	-R03908
R01239	-R01239
R05687	-R05687
R05681	-R05681
R05682	-R05682
R00018	-R00018
R05535	-R05535
R11249	-R11249
R06882	-R06882
R06885	-R06885
R00332	-R00332
R00330	-R00330
R08106	-R08106
R09557	-R09557
R00482	-R00482
R07597	-R07597
R03680	-R03680
R03686	-R03686
R01827	-R01827
R01829	-R01829
R11812	-R11812
R11818	-R11818
R07373	-R07373
R00002	-R00002
R05058	-R05058
R05052	-R05052
R05053	-R05053
R00827	-R00827
R02229	-R02229
R02222	-R02222
R02220	-R02220
R02221	-R02221
R02227	-R02227
R02225	-R02225
R10072	-R10072
R08945	-R08945
R08947	-R08947
R08946	-R08946
R09199	-R09199
R09194	-R09194
R09191	-R09191
R07302	-R07302
R08949	-R08949
R05807	-R05807
R11655	-R11655
R11659	-R11659
R11386	-R11386
R05808	-R05808
R10382	-R10382
R10383	-R10383
R10380	-R10380
R10381	-R10381
R09522	-R09522
R10384	-R10384
R11033	-R11033
R05645	-R05645
R11039	-R11039
R11038	-R11038
R05485	-R05485
R05483	-R05483
R05482	-R05482
R10135	-R10135
R10137	-R10137
R09308	-R09308
R10926	-R10926
R05372	-R05372
R07160	-R07160
R01737	-R01737
R06565	-R06565
R06564	-R06564
R06569	-R06569
R02411	-R02411
R02413	-R02413
R00673	-R00673
R07781	-R07781
R03094	-R03094
R07513	-R07513
R07102	-R07102
R07103	-R07103
R07104	-R07104
R07105	-R07105
R06994	-R06994
R01782	-R01782
R01784	-R01784
R01786	-R01786
R07512	-R07512
R01032	-R01032
R01033	-R01033
R01031	-R01031
R03321	-R03321
R03323	-R03323
R03327	-R03327
R00925	-R00925
R01256	-R01256
R01257	-R01257
R09699	-R09699
R07515	-R07515
R10779	-R10779
R09033	-R09033
R09031	-R09031
R10715	-R10715
R05552	-R05552
R00315	-R00315
R00310	-R00310
R08128	-R08128
R08121	-R08121
R08120	-R08120
R08125	-R08125
R08124	-R08124
R01665	-R01665
R04206	-R04206
R04204	-R04204
R04205	-R04205
R04200	-R04200
R04201	-R04201
R04208	-R04208
R08788	-R08788
R07575	-R07575
R07750	-R07750
R07576	-R07576
R03668	-R03668
R03667	-R03667
R10771	-R10771
R01808	-R01808
R07753	-R07753
R01806	-R01806
R01803	-R01803
R07319	-R07319
R08875	-R08875
R04427	-R04427
R04425	-R04425
R05030	-R05030
R05038	-R05038
R04723	-R04723
R07756	-R07756
R06047	-R06047
R02927	-R02927
R02200	-R02200
R04895	-R04895
R04358	-R04358
R09598	-R09598
R01669	-R01669
R04781	-R04781
R04789	-R04789
R09593	-R09593
R10010	-R10010
R10011	-R10011
R11129	-R11129
R11631	-R11631
R11630	-R11630
R11632	-R11632
R11637	-R11637
R11639	-R11639
R11638	-R11638
R04560	-R04560
R11803	-R11803
R02949	-R02949
R06617	-R06617
R10900	-R10900
R10904	-R10904
R10907	-R10907
R09735	-R09735
R09734	-R09734
R07145	-R07145
R07147	-R07147
R07143	-R07143
R02439	-R02439
R02438	-R02438
R02433	-R02433
R02430	-R02430
R02437	-R02437
R11293	-R11293
R00695	-R00695
R00694	-R00694
R00692	-R00692
R01011	-R01011
R01014	-R01014
R01015	-R01015
R03349	-R03349
R03347	-R03347
R03344	-R03344
R03345	-R03345
R01277	-R01277
R01271	-R01271
R07672	-R07672
R07673	-R07673
R10733	-R10733
R05576	-R05576
R10221	-R10221
R07670	-R07670
R06848	-R06848
R06847	-R06847
R06840	-R06840
R04994	-R04994
R04193	-R04193
R09116	-R09116
R11174	-R11174
R11173	-R11173
R04224	-R04224
R04229	-R04229
R07081	-R07081
R00174	-R00174
R07083	-R07083
R07082	-R07082
R07085	-R07085
R07084	-R07084
R07087	-R07087
R07086	-R07086
R01869	-R01869
R01863	-R01863
R01866	-R01866
R08505	-R08505
R07882	-R07882
R07885	-R07885
R07887	-R07887
R07886	-R07886
R07889	-R07889
R08859	-R08859
R08858	-R08858
R08088	-R08088
R06687	-R06687
R06682	-R06682
R02590	-R02590
R02593	-R02593
R00734	-R00734
R00903	-R00903
R01485	-R01485
R00907	-R00907
R05900	-R05900
R07346	-R07346
R09984	-R09984
R09985	-R09985
R04769	-R04769
R05826	-R05826
R04764	-R04764
R04762	-R04762
R09223	-R09223
R09221	-R09221
R10034	-R10034
R10037	-R10037
R10030	-R10030
R04509	-R04509
R04501	-R04501
R04500	-R04500
R04502	-R04502
R04505	-R04505
R04507	-R04507
R11146	-R11146
R01919	-R01919
R05772	-R05772
R10692	-R10692
R10694	-R10694
R10697	-R10697
R10699	-R10699
R09345	-R09345
R10962	-R10962
R10963	-R10963
R06286	-R06286
R09370	-R09370
R00509	-R00509
R00505	-R00505
R00503	-R00503
R00502	-R00502
R08710	-R08710
R01441	-R01441
R08711	-R08711
R08714	-R08714
R12199	-R12199
R12198	-R12198
R12335	-R12335
R12334	-R12334
R12333	-R12333
R04482	-R04482
R01070	-R01070
R01077	-R01077
R01075	-R01075
R04487	-R04487
R10750	-R10750
R05599	-R05599
R09070	-R09070
R09071	-R09071
R06861	-R06861
R06863	-R06863
R06599	-R06599
R11151	-R11151
R11152	-R11152
R11154	-R11154
R11408	-R11408
R11406	-R11406
R11402	-R11402
R04247	-R04247
R03565	-R03565
R07532	-R07532
R07534	-R07534
R07536	-R07536
R07539	-R07539
R03620	-R03620
R03623	-R03623
R03622	-R03622
R03625	-R03625
R03624	-R03624
R03627	-R03627
R03626	-R03626
R01843	-R01843
R04552	-R04552
R11391	-R11391
R11395	-R11395
R02574	-R02574
R02572	-R02572
R00015	-R00015
R05533	-R05533
R00012	-R00012
R00997	-R00997
R07252	-R07252
R11241	-R11241
R08973	-R08973
R08974	-R08974
R11243	-R11243
R04746	-R04746
R04744	-R04744
R11934	-R11934
R04740	-R04740
R04749	-R04749
R06382	-R06382
R04331	-R04331
R06384	-R06384
R05298	-R05298
R04523	-R04523
R04522	-R04522
R00156	-R00156
R00157	-R00157
R00158	-R00158
R08570	-R08570
R00198	-R00198
R08572	-R08572
R00097	-R00097
R10945	-R10945
R10410	-R10410
R02807	-R02807
R10948	-R10948
R00091	-R00091
R08957	-R08957
R08955	-R08955
R08953	-R08953
R11959	-R11959
R11952	-R11952
R11954	-R11954
R11955	-R11955
R11956	-R11956
R06271	-R06271
R06270	-R06270
R06272	-R06272
R01722	-R01722
R02493	-R02493
R03387	-R03387
R03384	-R03384
